z    mass    j
6.547227   1000000000.0   3.183e+01
6.547227   3162277660.1683793   3.218e+01
6.663657   10000000000.0   3.397e+01
6.663657   31622776601.683792   3.534e+01
6.663657   100000000000.0   3.746e+01
6.663657   316227766016.83795   3.773e+01
6.663657   1000000000000.0   4.803e+01
6.663657   100000.0   3.211e+01
6.663657   316227.7660168379   3.215e+01
6.663657   1000000.0   3.220e+01
6.663657   3162277.6601683795   3.226e+01
6.663657   10000000.0   3.234e+01
6.663657   31622776.60168379   3.244e+01
6.663657   100000000.0   3.259e+01
6.663657   316227766.01683795   3.279e+01
6.663657   1000000000.0   3.307e+01
6.663657   3162277660.1683793   3.345e+01
6.781919   10000000000.0   3.530e+01
6.781919   31622776601.683792   3.675e+01
6.781919   100000000000.0   3.897e+01
6.781919   316227766016.83795   3.929e+01
6.781919   1000000000000.0   5.082e+01
6.781919   100000.0   3.296e+01
6.781919   316227.7660168379   3.300e+01
6.781919   1000000.0   3.305e+01
6.781919   3162277.6601683795   3.311e+01
6.781919   10000000.0   3.319e+01
6.781919   31622776.60168379   3.331e+01
6.781919   100000000.0   3.346e+01
6.781919   316227766.01683795   3.368e+01
6.781919   1000000000.0   3.432e+01
6.781919   3162277660.1683793   3.473e+01
6.902015   10000000000.0   3.665e+01
6.902015   31622776601.683792   3.780e+01
6.902015   100000000000.0   4.052e+01
6.902015   316227766016.83795   4.130e+01
6.902015   1000000000000.0   5.438e+01
6.902015   100000.0   3.413e+01
6.902015   316227.7660168379   3.417e+01
6.902015   1000000.0   3.422e+01
6.902015   3162277.6601683795   3.429e+01
6.902015   10000000.0   3.438e+01
6.902015   31622776.60168379   3.450e+01
6.902015   100000000.0   3.467e+01
6.902015   316227766.01683795   3.491e+01
6.902015   1000000000.0   3.523e+01
6.902015   3162277660.1683793   3.567e+01
7.023879   10000000000.0   3.800e+01
7.023879   31622776601.683792   3.923e+01
7.023879   100000000000.0   4.208e+01
7.023879   316227766016.83795   4.728e+01
7.023879   1000000000000.0   5.777e+01
7.023879   100000.0   3.529e+01
7.023879   316227.7660168379   3.534e+01
7.023879   1000000.0   3.540e+01
7.023879   3162277.6601683795   3.547e+01
7.023879   10000000.0   3.557e+01
7.023879   31622776.60168379   3.570e+01
7.023879   100000000.0   3.589e+01
7.023879   316227766.01683795   3.614e+01
7.023879   1000000000.0   3.649e+01
7.023879   3162277660.1683793   3.697e+01
7.147702   10000000000.0   3.900e+01
7.147702   31622776601.683792   4.070e+01
7.147702   100000000000.0   4.412e+01
7.147702   316227766016.83795   4.941e+01
7.147702   1000000000000.0   6.153e+01
7.147702   100000.0   3.611e+01
7.147702   316227.7660168379   3.616e+01
7.147702   1000000.0   3.622e+01
7.147702   3162277.6601683795   3.630e+01
7.147702   10000000.0   3.640e+01
7.147702   31622776.60168379   3.654e+01
7.147702   100000000.0   3.674e+01
7.147702   316227766.01683795   3.701e+01
7.147702   1000000000.0   3.775e+01
7.147702   3162277660.1683793   3.828e+01
7.27342   10000000000.0   4.038e+01
7.27342   31622776601.683792   4.217e+01
7.27342   100000000000.0   4.579e+01
7.27342   316227766016.83795   5.167e+01
7.27342   1000000000000.0   6.562e+01
7.27342   100000.0   3.728e+01
7.27342   316227.7660168379   3.733e+01
7.27342   1000000.0   3.740e+01
7.27342   3162277.6601683795   3.749e+01
7.27342   10000000.0   3.760e+01
7.27342   31622776.60168379   3.775e+01
7.27342   100000000.0   3.796e+01
7.27342   316227766.01683795   3.825e+01
7.27342   1000000000.0   3.865e+01
7.27342   3162277660.1683793   3.921e+01
7.401102   10000000000.0   4.178e+01
7.401102   31622776601.683792   4.366e+01
7.401102   100000000000.0   4.750e+01
7.401102   316227766016.83795   5.407e+01
7.401102   1000000000000.0   7.078e+01
7.401102   100000.0   3.844e+01
7.401102   316227.7660168379   3.850e+01
7.401102   1000000.0   3.857e+01
7.401102   3162277.6601683795   3.866e+01
7.401102   10000000.0   3.878e+01
7.401102   31622776.60168379   3.894e+01
7.401102   100000000.0   3.917e+01
7.401102   316227766.01683795   3.948e+01
7.401102   1000000000.0   3.992e+01
7.401102   3162277660.1683793   4.053e+01
7.530749   10000000000.0   4.317e+01
7.530749   31622776601.683792   4.516e+01
7.530749   100000000000.0   4.925e+01
7.530749   316227766016.83795   5.719e+01
7.530749   1000000000000.0   7.589e+01
7.530749   100000.0   3.920e+01
7.530749   316227.7660168379   3.926e+01
7.530749   1000000.0   3.933e+01
7.530749   3162277.6601683795   3.943e+01
7.530749   10000000.0   3.955e+01
7.530749   31622776.60168379   3.972e+01
7.530749   100000000.0   3.997e+01
7.530749   316227766.01683795   4.030e+01
7.530749   1000000000.0   4.077e+01
7.530749   3162277660.1683793   4.184e+01
7.662359   10000000000.0   4.413e+01
7.662359   31622776601.683792   4.667e+01
7.662359   100000000000.0   5.156e+01
7.662359   316227766016.83795   5.989e+01
7.662359   1000000000000.0   8.147e+01
7.662359   100000.0   4.033e+01
7.662359   316227.7660168379   4.039e+01
7.662359   1000000.0   4.047e+01
7.662359   3162277.6601683795   4.057e+01
